semantic_pair,semantic_pair_slug,category,seed,difference_definition,hypervolume_ca,hypervolume_mca,hypervolume_difference,n_non_dominated_ca,n_non_dominated_mca,n_non_dominated_difference,spacing_ca,spacing_mca,spacing_difference,population_average_worst_similarity_ca,population_average_worst_similarity_mca,population_average_worst_similarity_difference,best_max_min_similarity_ca,best_max_min_similarity_mca,best_max_min_similarity_difference,objective_space_extent_ca,objective_space_extent_mca,objective_space_extent_difference,similarity_extent_objective_1_ca,similarity_extent_objective_1_mca,similarity_extent_objective_1_difference,similarity_extent_objective_2_ca,similarity_extent_objective_2_mca,similarity_extent_objective_2_difference
Mushroom--Coral,mushroom_coral,Growth-topology contrasts,11,moead_mca_minus_moead_ca,0.16122007135549143,0.1316037174011946,-0.029616353954296848,22,10,-12,0.003504832570602778,0.0019305144134215927,-0.0015743181571811853,0.29771557251612346,0.34481831987698874,0.04710274736086528,0.3484945595264435,0.35379505157470703,0.00530049204826355,0.31399819254875183,0.04357600212097168,-0.27042219042778015,0.13455134630203247,0.020357638597488403,-0.11419370770454407,0.17944684624671936,0.023218363523483276,-0.15622848272323608
Mushroom--Coral,mushroom_coral,Growth-topology contrasts,22,moead_mca_minus_moead_ca,0.15913562788766278,0.14156953030093433,-0.017566097586728446,22,12,-10,0.004143536733916786,0.003574641065865112,-0.0005688956680516737,0.30623634258906046,0.34446806212266284,0.03823171953360238,0.35643428564071655,0.34940969944000244,-0.007024586200714111,0.3168436884880066,0.07615736126899719,-0.2406863272190094,0.14001598954200745,0.023049890995025635,-0.11696609854698181,0.17682769894599915,0.05310747027397156,-0.12372022867202759
Mushroom--Coral,mushroom_coral,Growth-topology contrasts,33,moead_mca_minus_moead_ca,0.1651935689776849,0.14786315134201544,-0.01733041763566945,27,15,-12,0.002902814198279643,0.0032108338904755056,0.0003080196921958628,0.30162714223066966,0.3330500483512878,0.031422906120618155,0.3619050979614258,0.35627681016921997,-0.0056282877922058105,0.33365437388420105,0.09765288233757019,-0.23600149154663086,0.1495230793952942,0.06560245156288147,-0.08392062783241272,0.18413129448890686,0.03205043077468872,-0.15208086371421814
Mushroom--Coral,mushroom_coral,Growth-topology contrasts,44,moead_mca_minus_moead_ca,0.15685047705947675,0.1447541787601896,-0.012096298299287156,19,14,-5,0.005174775377217373,0.0028408574665454507,-0.0023339179106719224,0.3127337614695231,0.34476134479045867,0.03202758332093558,0.3612781763076782,0.36161574721336365,0.0003375709056854248,0.2753886282444,0.0771510899066925,-0.19823753833770752,0.14039745926856995,0.038022369146347046,-0.1023750901222229,0.13499116897583008,0.03912872076034546,-0.09586244821548462
Mushroom--Coral,mushroom_coral,Growth-topology contrasts,55,moead_mca_minus_moead_ca,0.1627368601921848,0.15088029423682858,-0.011856565955356224,27,20,-7,0.0034106350846502148,0.003400074856095807,-1.0560228554407775e-05,0.30504582623640697,0.34528880616029106,0.04024297992388409,0.3610725402832031,0.3650512099266052,0.0039786696434021,0.3127487897872925,0.15353792905807495,-0.15921086072921753,0.12887561321258545,0.08129090070724487,-0.047584712505340576,0.18387317657470703,0.07224702835083008,-0.11162614822387695
Cactus--Maple,cactus_maple,Growth-topology contrasts,11,moead_mca_minus_moead_ca,0.1294140262311223,0.10875746373631578,-0.02065656249480652,23,17,-6,0.003093602545175899,0.0012090091756900656,-0.0018845933694858336,0.25934781283140185,0.30390366514523826,0.04455585231383641,0.3138132691383362,0.3160563111305237,0.0022430419921875,0.3359963893890381,0.07717210054397583,-0.25882428884506226,0.18388690054416656,0.04464811086654663,-0.13923878967761993,0.15210948884487152,0.0325239896774292,-0.11958549916744232
Cactus--Maple,cactus_maple,Growth-topology contrasts,22,moead_mca_minus_moead_ca,0.124490857546808,0.10948359698017551,-0.015007260566632485,23,18,-5,0.003416832239705956,0.0006586177341988752,-0.002758214505507081,0.26206525911887485,0.3133330881595612,0.05126782904068633,0.32112422585487366,0.32180142402648926,0.0006771981716156006,0.33275824785232544,0.05853572487831116,-0.2742225229740143,0.16084425151348114,0.023332715034484863,-0.13751153647899628,0.1719139963388443,0.035203009843826294,-0.136710986495018
Cactus--Maple,cactus_maple,Growth-topology contrasts,33,moead_mca_minus_moead_ca,0.1242650900451272,0.10474063381684573,-0.019524456228281473,18,11,-7,0.006641969348007672,0.0027302645596505703,-0.003911704788357102,0.25122987826665244,0.3034770260254542,0.05224714775880174,0.30062076449394226,0.31528016924858093,0.014659404754638672,0.3328540027141571,0.07064920663833618,-0.2622047960758209,0.19404791295528412,0.026047974824905396,-0.16799993813037872,0.13880608975887299,0.044601231813430786,-0.0942048579454422
Cactus--Maple,cactus_maple,Growth-topology contrasts,44,moead_mca_minus_moead_ca,0.12787776830092223,0.10501146816194762,-0.022866300138974616,20,6,-14,0.005391026337686196,0.003816377386159976,-0.00157464895152622,0.2505670577287674,0.30201176007588704,0.05144470234711962,0.30091822147369385,0.3119297921657562,0.011011570692062378,0.3392412066459656,0.049529701471328735,-0.28971150517463684,0.1775418519973755,0.025632023811340332,-0.15190982818603516,0.1616993546485901,0.023897677659988403,-0.13780167698860168
Cactus--Maple,cactus_maple,Growth-topology contrasts,55,moead_mca_minus_moead_ca,0.1299606406922562,0.10431828801887022,-0.025642352673385993,22,14,-8,0.005777052604625201,0.0,-0.005777052604625201,0.25138363391160967,0.29534758925437926,0.04396395534276959,0.30956774950027466,0.3091823160648346,-0.0003854334354400635,0.3518577367067337,0.0733722448348999,-0.2784854918718338,0.184835284948349,0.040681689977645874,-0.14415359497070312,0.1670224517583847,0.03269055485725403,-0.13433189690113068
